DrugName	GDSC1_version	GDSC1_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50	
NSC319726	GDSC1	731	693	1.48E-04	0	8.451007931	
NSC-87877	GDSC1	732	0	2.142778086	722	1153.80684	
HG6-64-1	GDSC1	732	192	0.020223672	173	245.1075383	
Etoposide	GDSC1	734	154	0.014732148	270	1008.182946	
JNK-9L	GDSC1	734	487	0.034264067	24	187.7835818	
Sepantronium bromide	GDSC1	734	658	0.001495864	20	174.6270477	
FTI-277	GDSC1	735	12	0.177313436	299	64.47874767	
GSK1070916	GDSC1	735	79	0.004385843	334	293.6172446	
Ponatinib	GDSC1	736	221	0.003621701	60	36.92181889	
Midostaurin	GDSC1	736	396	0.024241302	29	21.39536197	
Vinorelbine	GDSC1	736	724	4.75E-04	0	2.586335805	
UNC0642	GDSC1	737	10	0.332190609	106	56.59240959	
Daporinad	GDSC1	739	520	6.36E-04	49	54.97579267	
MK-2206	GDSC1	742	63	0.097157734	233	194.9617495	
Palbociclib	GDSC1	742	90	0.058953811	263	207.9988972	
Trametinib	GDSC1	743	483	7.95E-04	55	55.31766495	
Belinostat	GDSC1	748	326	0.037668221	103	586.6510813	
SB590885	GDSC1	749	17	0.077548162	671	484.0719308	
THZ-2-102-1	GDSC1	750	531	0.002153161	91	356.8886431	
Temozolomide	GDSC1	751	0	2.894543315	750	1709.777804	
SGC0946	GDSC1	751	6	0.236779301	118	28.86001205	
UNC1215	GDSC1	752	0	1.105883039	523	97.54303449	
Alisertib	GDSC1	752	109	0.012504246	305	92.9074259	
Panobinostat	GDSC1	754	735	0.002563842	2	29.06931818	
Talazoparib	GDSC1	755	87	0.011596463	389	440.5864274	
MIM1	GDSC1	756	0	3.017023022	701	1865.223769	
AST-1306	GDSC1	756	81	0.022744895	191	719.9576645	
(5Z)-7-Oxozeaenol	GDSC1	756	168	0.009727361	87	364.3207183	
CUDC-101	GDSC1	756	437	0.016007382	76	287.6083627	
ARRY-520	GDSC1	756	683	9.90E-04	0	8.277119985	
MCT1_6447	GDSC1	757	11	0.047792145	721	538.59389	
GSK1059615	GDSC1	757	378	0.017762887	49	586.3451897	
Flavopiridol	GDSC1	757	634	0.026881653	5	67.38802294	
Ara-G	GDSC1	758	0	1.873994062	757	1239.950401	
CAY10566	GDSC1	758	12	0.074484253	639	139.8396774	
LCL161	GDSC1	758	15	0.017439041	699	418.2839286	
Apitolisib	GDSC1	758	326	0.050011023	77	502.8012049	
CAP-232	GDSC1	759	0	6.574879921	709	983.5078898	
A-83-01	GDSC1	759	0	2.074509433	752	921.5267699	
Kobe2602	GDSC1	759	0	6.679576391	752	1469.691931	
LGK974	GDSC1	759	2	0.400454682	529	146.6637275	
A832234	GDSC1	759	5	0.097209912	427	108.5417587	
ICL1100013	GDSC1	759	102	0.107288199	332	989.0727994	
AT-7519	GDSC1	759	192	0.015291543	199	583.009171	
OSI-027	GDSC1	759	205	0.019779358	276	797.2730202	
WYE-125132	GDSC1	759	378	0.007851401	105	401.6832473	
BAM7	GDSC1	760	0	3.942585258	753	1126.648557	
XAV939	GDSC1	760	2	0.401474606	651	330.3554441	
Venotoclax	GDSC1	760	35	0.016716815	12	13.99463259	
Pemetrexed	GDSC1	760	37	0.028819652	564	415.2880011	
PI-103	GDSC1	760	234	0.022311163	260	671.1161427	
Trichostatin A	GDSC1	760	680	0.006322043	7	32.70732271	
Phenformin	GDSC1	761	0	3.696865125	760	233061.107	
CPI-613	GDSC1	761	0	23.12668334	761	12808.3836	
C-75	GDSC1	761	0	6.168221026	749	1318.032091	
FTY-720	GDSC1	761	0	1.57260711	324	408.9949763	
RU-SKI 43	GDSC1	761	0	5.147016287	754	1393.00232	
Wnt-C59	GDSC1	761	4	0.571586577	527	101.7956436	
AGI-6780	GDSC1	761	5	0.630917516	64	31.16139017	
LDN-193189	GDSC1	761	64	0.29894335	24	65.95628889	
THZ-2-49	GDSC1	761	68	0.023251578	474	1340.292815	
AR-42	GDSC1	761	441	0.027358387	74	257.9077998	
rTRAIL	GDSC1	761	470	0.001947421	0	5.652610467	
PLK_6522	GDSC1	761	665	0.004406548	5	22.37638995	
PF-00299804	GDSC1	762	48	0.025578977	289	634.841334	
SNX-2112	GDSC1	763	423	0.010566527	101	142.4335652	
AZD5582	GDSC1	764	94	0.006127681	326	473.8237888	
CAY10603	GDSC1	764	164	0.079031304	137	682.4464006	
IMD-0354	GDSC1	764	301	0.057129381	73	617.9119836	
AZD8835	GDSC1	765	8	0.41254776	461	220.2458966	
QL-XII-47	GDSC1	765	127	0.090934547	233	492.5192721	
IC-87114	GDSC1	766	0	9.868650918	765	1424.050516	
Amuvatinib	GDSC1	766	25	0.028177193	658	1163.27401	
IAP_5620	GDSC1	766	46	0.009130659	669	666.3140494	
QL-X-138	GDSC1	766	90	0.164505544	275	433.5038429	
Tamoxifen	GDSC1	767	0	1.073495745	747	524.5443096	
FEN1_3940	GDSC1	767	0	1.358151163	272	559.9121016	
5-Fluorouracil	GDSC1	767	4	0.814666007	630	2179.677724	
Piperlongumine	GDSC1	767	7	0.499425165	130	345.2073828	
CX-5461	GDSC1	767	36	0.085322535	546	738.4363773	
A-484954	GDSC1	768	0	25.44399064	768	2164.596201	
T0901317	GDSC1	768	1	0.238863056	763	734.8501876	
NSC-207895	GDSC1	768	2	0.519144445	688	1440.233976	
AS605240	GDSC1	768	14	0.01693153	583	827.3175992	
PARP_9495	GDSC1	768	80	0.065789175	220	138.3723355	
AZD8931	GDSC1	768	87	0.022666214	222	388.5081225	
I-BET-762	GDSC1	769	0	1.029627518	676	1306.184432	
KIN001-042	GDSC1	769	1	0.849181695	762	563.7413951	
SB52334	GDSC1	769	1	0.517927226	706	882.3398604	
JNJ38877605	GDSC1	769	3	0.410508554	754	1136.133807	
AZD7969	GDSC1	769	3	0.401580125	400	538.59389	
PI3Ka_4409	GDSC1	769	11	0.360586576	418	199.6914725	
ACY-1215	GDSC1	769	21	0.317351711	268	782.4313884	
CI-1033	GDSC1	769	39	0.028518778	341	1228.097086	
Foretinib	GDSC1	769	326	0.008873701	55	215.4656254	
IOX2	GDSC1	769	350	0.048960793	0	5.385938899	
STF-62247	GDSC1	770	0	2.392071129	757	738.2100473	
Tubastatin A	GDSC1	770	0	1.933555434	752	1258.978265	
VNLG/124	GDSC1	770	0	2.986491237	752	304.3649744	
Selisistat	GDSC1	770	0	10.60117176	770	1145.705092	
PFI-1	GDSC1	770	1	0.874566953	502	553.1766495	
SU11274	GDSC1	770	2	0.714211513	671	680.5532117	
Brivanib	GDSC1	770	2	0.575077694	752	1394.573758	
Alectinib	GDSC1	770	3	0.097382266	726	347.6841049	
Enzastaurin	GDSC1	770	14	0.407715081	603	1165.305536	
GSK690693	GDSC1	770	17	0.011833871	670	752.4822686	
BIBF-1120	GDSC1	770	19	0.051758841	467	1443.975802	
IAP_7638	GDSC1	770	26	0.009310366	672	725.8883151	
Genentech Cpd 10	GDSC1	770	34	0.151715273	409	612.3713105	
ZSTK474	GDSC1	770	184	0.069611906	159	256.2839909	
Ispinesib Mesylate	GDSC1	770	621	0.002538619	0	8.695556656	
KIN001-244	GDSC1	771	0	1.172795064	687	1283.849218	
KIN001-260	GDSC1	771	0	1.280820151	767	1458.004019	
KIN001-266	GDSC1	771	0	1.853709395	711	1368.089453	
XMD13-2	GDSC1	771	0	1.377390538	666	594.7651835	
Voxtalisib	GDSC1	771	0	4.602637022	760	1427.468682	
LIMK1 inhibitor BMS4	GDSC1	771	0	1.292659548	759	1469.691931	
kb NB 142-70	GDSC1	771	0	1.159692733	485	1469.691931	
Sphingosine Kinase 1 Inhibitor II	GDSC1	771	0	3.286748723	765	188.1205672	
ETP-45835	GDSC1	771	0	10.5259487	771	1453.908857	
SL0101	GDSC1	771	0	5.55730722	763	968.143862	
GSK429286A	GDSC1	771	1	0.294592026	755	1469.691931	
MPS-1-IN-1	GDSC1	771	1	0.864167059	693	1469.691931	
Pilaralisib	GDSC1	771	1	0.573311046	661	670.2583694	
Fulvestrant	GDSC1	771	1	0.216281215	752	501.0722734	
Tenovin-6	GDSC1	771	2	0.879890016	316	1159.699846	
TWS119	GDSC1	771	5	0.410892025	427	1435.917858	
AT7867	GDSC1	771	6	0.252050791	593	1469.691931	
Cabozantinib	GDSC1	771	10	0.077217002	529	374.6839011	
PIK-93	GDSC1	771	14	0.219783073	545	1448.741511	
NPK76-II-72-1	GDSC1	771	16	0.135748342	557	640.6751281	
PHA-793887	GDSC1	771	41	0.051394057	482	752.4822686	
AZD8186	GDSC1	771	53	0.027926589	275	96.516142	
Pelitinib	GDSC1	771	87	0.010572818	345	382.9438302	
Tivozanib	GDSC1	771	134	0.05035204	0	9.230454713	
AZD5438	GDSC1	771	143	0.119766164	45	62.53224527	
GW-2580	GDSC1	772	0	4.505430748	771	1213.22206	
XMD14-99	GDSC1	772	0	5.280077893	762	695.0746021	
FR-180204	GDSC1	772	0	14.4716249	772	1182.492822	
Zibotentan	GDSC1	772	0	33.73632378	772	1413.865489	
BIX02189	GDSC1	772	0	4.347386565	764	1433.095714	
KIN001-236	GDSC1	772	0	3.889344619	765	733.3646967	
WHI-P97	GDSC1	772	0	1.045507774	727	576.9200642	
OSI-930	GDSC1	772	0	2.067429221	758	646.1301196	
QL-XI-92	GDSC1	772	0	1.265560578	722	752.4822686	
XMD15-27	GDSC1	772	0	4.127497227	767	752.4822686	
KIN001-270	GDSC1	772	0	10.96232649	772	1306.909013	
TL-1-85	GDSC1	772	2	0.877312208	640	600.797808	
Masitinib	GDSC1	772	2	0.875421127	729	1212.285763	
Y-39983	GDSC1	772	2	0.859351355	745	1469.691931	
CP724714	GDSC1	772	4	0.164048577	745	612.9912367	
NG-25	GDSC1	772	4	0.346868878	498	739.7584692	
NVP-BHG712	GDSC1	772	6	0.334374885	606	595.987527	
TPCA-1	GDSC1	772	7	0.597345652	598	841.6625997	
Fedratinib	GDSC1	772	10	0.248092465	439	752.4822686	
Linifanib	GDSC1	772	11	0.379720575	478	60.45271082	
YM201636	GDSC1	772	11	0.217109189	420	368.7040331	
Quizartinib	GDSC1	772	15	0.216972788	460	69.5856864	
VX-11e	GDSC1	772	33	0.052061848	541	272.7700032	
JW-7-24-1	GDSC1	772	57	0.093059823	238	513.0826273	
EphB4_9721	GDSC1	772	66	0.024802525	332	336.0901212	
CD532	GDSC1	772	299	0.028178596	15	109.0953216	
WZ3105	GDSC1	772	337	0.027949177	153	157.9548911	
Omipalisib	GDSC1	772	710	3.06E-04	1	17.61370267	
AZD4877	GDSC1	772	737	9.04E-04	0	9.542364377	
CP466722	GDSC1	773	0	1.199674045	427	478.6773459	
Idelalisib	GDSC1	773	0	1.596376455	763	1185.964121	
Doramapimod	GDSC1	773	0	2.886978135	751	844.5658269	
MCT4_1422	GDSC1	773	0	2.370074426	759	868.4299803	
TL-2-105	GDSC1	773	1	0.602899104	732	738.4363773	
TTK_3146	GDSC1	773	1	0.796640717	472	546.9285788	
Dyrk1b_0191	GDSC1	773	2	0.954507393	291	981.3522142	
BPTES	GDSC1	773	3	0.166153364	688	553.1766495	
FGFR_3831	GDSC1	773	10	0.191176835	525	553.1766495	
TANK_1366	GDSC1	773	10	0.012019386	532	182.1096221	
BX-912	GDSC1	773	27	0.087755036	532	689.767466	
RAF_9304	GDSC1	773	35	0.088458826	400	488.0786662	
PD0325901	GDSC1	773	543	0.00123827	24	24.33800971	
Dactolisib	GDSC1	773	733	0.002880225	1	12.58235152	
BMS-345541	GDSC1	774	0	1.959351043	643	927.2453653	
TAK-715	GDSC1	774	0	2.421538176	760	1383.404144	
AZD3514	GDSC1	774	1	0.763465134	700	553.1766495	
JAK3_7406	GDSC1	774	1	0.418330236	632	638.8315496	
FGFR_0939	GDSC1	774	14	0.113956732	294	187.768586	
AZD1332	GDSC1	774	31	0.040815271	242	543.5730869	
CI-1040	GDSC1	774	52	0.053365921	395	314.1429641	
PARP_9482	GDSC1	774	386	0.002513059	73	138.2941624	
IGFR_3801	GDSC1	774	411	0.038623877	68	553.1766495	
AZD2014	GDSC1	774	422	0.056229338	41	226.2120288	
Temsirolimus	GDSC1	774	695	0.001241375	0	6.647891096	
Ruxolitinib	GDSC1	775	0	4.04490728	769	374.2646098	
PF-4708671	GDSC1	775	0	2.040144129	740	630.1143413	
AZD6094	GDSC1	775	11	0.002148928	699	216.0204385	
Bleomycin (10 uM)	GDSC1	775	135	0.028237917	312	507.6116755	
CCT-018159	GDSC1	776	0	2.004264934	606	939.8454295	
JAK1_3715	GDSC1	776	0	2.185393885	770	1062.30878	
AZD6738	GDSC1	776	32	0.351923146	249	455.8847936	
PARP_0108	GDSC1	776	335	0.004914436	110	138.2941624	
AZD8055	GDSC1	776	344	0.061304071	23	52.11075175	
AZD1208	GDSC1	777	1	0.696530435	707	420.2015029	
AZD1480	GDSC1	777	44	0.029346716	193	136.4021384	
Bleomycin (50 uM)	GDSC1	777	133	0.046652704	379	2446.708478	
Serdemetan	GDSC1	779	2	0.841282162	514	447.8136356	
Capivasertib	GDSC1	779	25	0.147248776	562	2204.537896	
Elesclomol	GDSC1	779	734	2.31E-04	2	10.91022619	
AICA Ribonucleotide	GDSC1	780	0	56.49750817	780	103880.8751	
KU-60019	GDSC1	780	0	2.407541668	655	545.9933685	
TW 37	GDSC1	780	560	0.003748714	25	266.8083843	
Rucaparib	GDSC1	781	2	0.32961778	683	361.7405568	
NU7441	GDSC1	781	3	0.518274609	419	99.26755515	
Tretinoin	GDSC1	781	4	0.157924846	734	968.143862	
VX-702	GDSC1	781	4	0.016171129	675	192.4154813	
Motesanib	GDSC1	781	8	0.159365924	528	184.5942718	
Axitinib	GDSC1	781	20	0.011801473	360	116.6979834	
AZ20	GDSC1	781	135	0.077876108	75	354.2005425	
CCT007093	GDSC1	782	0	2.510508459	767	591.3506075	
Cytarabine	GDSC1	782	345	0.019066359	85	107.7989514	
JNK Inhibitor VIII	GDSC1	783	0	4.270641862	768	870.2104057	
EHT-1864	GDSC1	783	0	3.08035102	744	904.6287649	
Tanespimycin	GDSC1	784	535	0.002668577	38	36.97654065	
KU-55933	GDSC1	785	0	2.559260941	769	594.3347038	
Navitoclax	GDSC1	785	113	0.01688205	300	100.7804337	
Gefitinib	GDSC1	785	149	0.012106616	54	37.20196919	
Lestaurtinib	GDSC1	785	476	0.020178266	40	84.08440241	
RO-3306	GDSC1	786	1	0.498929983	639	414.4167889	
BX795	GDSC1	786	10	0.46492333	271	455.8506272	
GW441756	GDSC1	786	15	0.047793697	484	192.1774429	
PD173074	GDSC1	786	23	0.021516102	544	153.8242803	
Bosutinib	GDSC1	786	55	0.074898276	334	108.6619527	
Lenalidomide	GDSC1	787	0	1.578279504	778	468.2815179	
Veliparib	GDSC1	787	1	0.300132494	773	446.775604	
Nutlin-3a (-)	GDSC1	787	1	0.459414946	637	580.9308466	
ZM447439	GDSC1	787	9	0.47328686	368	379.6144954	
Methotrexate	GDSC1	787	353	0.006340726	5	19.36287725	
Nilotinib	GDSC1	788	3	0.419479611	630	190.868574	
Vinblastine	GDSC1	788	782	0.001088192	0	2.741749351	
Vismodegib	GDSC1	789	0	6.598556678	785	968.143862	
Vorinostat	GDSC1	789	69	0.125028555	119	300.8747063	
Docetaxel	GDSC1	789	789	2.01E-04	0	0.809122222	
BMS-536924	GDSC1	254	53	0.067389246	105	153.5036828	62
BMS-536924	GDSC1	765	23	0.2853437	368	112.97612	1091
GSK269962A	GDSC1	253	20	0.01809972	123	96.314900	127
GSK269962A	GDSC1	768	46	0.02201973	376	251.43532	1192
Bicalutamide	GDSC1	729	2	0.7499119	568	101.89342	150
Bicalutamide	GDSC1	722	1	0.9553748	717	498.5477	1502
CHIR-99021	GDSC1	733	10	0.2330287	587	154.65415	154
CHIR-99021	GDSC1	755	1	0.6355199	674	538.5939	1241
JQ1	GDSC1	735	335	0.04479200	79	100.182829	163
JQ1	GDSC1	755	30	0.09277749	397	55.31766	1218
AZD6482	GDSC1	731	27	0.04120041	414	208.40251	156
AZD6482	GDSC1	761	31	0.05613894	405	359.50271	1066
Refametinib	GDSC1	769	147	0.01829475	251	168.84141	1014
Refametinib	GDSC1	723	119	0.02321400	239	202.14959	1526
Gemcitabine	GDSC1	718	546	0.0006267619	61	50.794059	135
Gemcitabine	GDSC1	776	766	0.001038927	0	2.74364137	1393
Selumetinib	GDSC1	737	70	0.04222468	428	272.11154	1062
Selumetinib	GDSC1	764	149	0.01981644	293	220.73012	1498
AKT inhibitor VIII	GDSC1	732	14	0.1723068	375	92.40682	171
AKT inhibitor VIII	GDSC1	771	10	0.4188601	502	750.78200	228
Pictilisib	GDSC1	774	139	0.1645542	176	208.97306	1058
Pictilisib	GDSC1	729	173	0.1263484	89	66.222008	1527
Doxorubicin	GDSC1	728	614	0.004536776	17	38.9664284	133
Doxorubicin	GDSC1	778	683	0.005471447	8	67.6186853	1386
AZD4547	GDSC1	779	19	0.01067662	567	734.84597	1135
AZD4547	GDSC1	734	48	0.002947866	340	73.95985	1497
SB505124	GDSC1	759	4	0.7678594	582	1184.5381	476
SB505124	GDSC1	767	0	1.151348	740	614.0476	1194
Olaparib	GDSC1	786	1	0.4369263	702	476.60144	1017
Olaparib	GDSC1	678	2	0.2611053	678	656.58990	1495
UNC0638	GDSC1	768	0	1.522516	612	2884.51710	245
UNC0638	GDSC1	770	0	1.073803	619	1077.1878	1236
Afatinib	GDSC1	786	192	0.0008497895	67	34.104869	1032
Afatinib	GDSC1	757	53	0.01880420	606	493.78151	1377
PLX-4720	GDSC1	784	20	0.1948132	699	968.1439	1036
PLX-4720	GDSC1	768	13	0.2009824	695	1395.0641	1371
Avagacestat	GDSC1	772	0	17.86635	772	708.8104	205
Avagacestat	GDSC1	783	2	0.3537772	707	369.51579	1072
SN-38	GDSC1	767	758	2.543628e-05	0	2.69296945	1490
SN-38	GDSC1	793	785	0.0003198519	0	3.80476920	1494
AZD7762	GDSC1	787	465	0.01267107	41	68.741406	1022
AZD7762	GDSC1	775	493	0.02775386	29	413.791661	1402
Cisplatin	GDSC1	789	6	0.3859367	545	878.24010	1005
Cisplatin	GDSC1	775	43	0.07877017	284	155.05938	1496
