DrugName	GDSC1_version	GDSC1_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50		DrugID
EphB4_9721	GDSC1	772	66	0.024802525	332	336.0901212	#N/A	
Etoposide	GDSC1	734	154	0.014732148	270	1008.182946	#N/A	
Foretinib	GDSC1	769	326	0.008873701	55	215.4656254	#N/A	
Gefitinib	GDSC1	785	149	0.012106616	54	37.20196919	#N/A	
GSK1059615	GDSC1	757	378	0.017762887	49	586.3451897	#N/A	
GSK1070916	GDSC1	735	79	0.004385843	334	293.6172446	#N/A	
HG6-64-1	GDSC1	732	192	0.020223672	173	245.1075383	#N/A	
IAP_5620	GDSC1	766	46	0.009130659	669	666.3140494	#N/A	
ICL1100013	GDSC1	759	102	0.107288199	332	989.0727994	#N/A	
IGFR_3801	GDSC1	774	411	0.038623877	68	553.1766495	#N/A	
IMD-0354	GDSC1	764	301	0.057129381	73	617.9119836	#N/A	
JQ1	GDSC1	735	335	0.044791998	79	100.1828289	#N/A	163
JQ12	GDSC1	730	149	0.008744123	209	202.5496495	#N/A	
JW-7-24-1	GDSC1	772	57	0.093059823	238	513.0826273	#N/A	
Lestaurtinib	GDSC1	785	476	0.020178266	40	84.08440241	#N/A	
Linsitinib	GDSC1	726	62	0.048360296	372	108.193302	#N/A	
MK-2206	GDSC1	742	63	0.097157734	233	194.9617495	#N/A	
Navitoclax	GDSC1	785	113	0.01688205	300	100.7804337	#N/A	
NVP-TAE684	GDSC1	259	76	0.004630106	45	60.89084512	#N/A	
OSI-027	GDSC1	759	205	0.019779358	276	797.2730202	#N/A	
Palbociclib	GDSC1	742	90	0.058953811	263	207.9988972	#N/A	
PARP_0108	GDSC1	776	335	0.004914436	110	138.2941624	#N/A	
PARP_9482	GDSC1	774	386	0.002513059	73	138.2941624	#N/A	
PARP_9495	GDSC1	768	80	0.065789175	220	138.3723355	#N/A	
Pelitinib	GDSC1	771	87	0.010572818	345	382.9438302	#N/A	
Pemetrexed	GDSC1	760	37	0.028819652	564	415.2880011	#N/A	
PF-00299804	GDSC1	762	48	0.025578977	289	634.841334	#N/A	
PHA-793887	GDSC1	771	41	0.051394057	482	752.4822686	#N/A	
PI-103	GDSC1	760	234	0.022311163	260	671.1161427	#N/A	
Pictilisib	GDSC1	774	139	0.1645542	176	208.9730552	#N/A	1058
Ponatinib	GDSC1	736	221	0.003621701	60	36.92181889	#N/A	
QL-X-138	GDSC1	766	90	0.164505544	275	433.5038429	#N/A	
QL-XII-47	GDSC1	765	127	0.090934547	233	492.5192721	#N/A	
RAF_9304	GDSC1	773	35	0.088458826	400	488.0786662	#N/A	
Refametinib	GDSC1	769	147	0.018294751	251	168.84141	#N/A	1014
S-Trityl-L-cysteine	GDSC1	253	37	0.35523864	65	500.7566427	#N/A	
Selumetinib	GDSC1	737	70	0.04222468	428	272.1115387	#N/A	1062
Shikonin	GDSC1	729	346	0.019868173	50	253.8668589	#N/A	
SNX-2112	GDSC1	763	423	0.010566527	101	142.4335652	#N/A	
Talazoparib	GDSC1	755	87	0.011596463	389	440.5864274	#N/A	
Tanespimycin	GDSC1	784	535	0.002668577	38	36.97654065	#N/A	
THZ-2-102-1	GDSC1	750	531	0.002153161	91	356.8886431	#N/A	
THZ-2-49	GDSC1	761	68	0.023251578	474	1340.292815	#N/A	
Tipifarnib	GDSC1	729	103	0.01618336	226	727.8843619	#N/A	
Torin 2	GDSC1	725	515	0.0128289	57	1020.888206	#N/A	
Tozasertib	GDSC1	253	55	0.007320404	83	207.0767089	#N/A	
Trametinib	GDSC1	743	483	7.95E-04	55	55.31766495	#N/A	
Vorinostat	GDSC1	789	69	0.125028555	119	300.8747063	#N/A	
WH-4-023	GDSC1	254	43	0.022054875	141	475.9771777	#N/A	
WYE-125132	GDSC1	759	378	0.007851401	105	401.6832473	#N/A	
WZ3105	GDSC1	772	337	0.027949177	153	157.9548911	#N/A	
Z-LLNle-CHO	GDSC1	254	53	0.299224552	49	272.2311311	#N/A	
ZSTK474	GDSC1	770	184	0.069611906	159	256.2839909	#N/A	
