DrugName	GDSC1_version	GDSC1_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50
Midostaurin	GDSC1	736	396	0.02424130234791652	29	21.395361966479342
CHIR-99021	GDSC1	1488	11	0.2330286850946244	1261	538.5938899529369
Ponatinib	GDSC1	736	221	0.0036217013440804306	60	36.92181888517142
AZD6482	GDSC1	1492	58	0.04120040588901758	819	359.5027130988218
JNK-9L	GDSC1	734	487	0.03426406670073384	24	187.78358178172687
PF-562271	GDSC1	719	9	0.19628479729108253	248	161.30927128538306
HG6-64-1	GDSC1	732	192	0.020223671625935673	173	245.10753828062136
JQ1	GDSC1	1490	365	0.044791998339808944	476	100.18282892984716
JQ12	GDSC1	730	149	0.008744123440862787	209	202.5496494574093
DMOG	GDSC1	731	0	12.447073113658227	731	53395.78397220183
FTI-277	GDSC1	735	12	0.1773134361084005	299	64.47874766881047
OSU-03012	GDSC1	728	24	0.25278788705195115	276	767.4731092195074
Shikonin	GDSC1	729	346	0.01986817294646809	50	253.8668588922829
AKT inhibitor VIII	GDSC1	1503	24	0.17230684327992848	877	750.7820022540837
Embelin	GDSC1	731	0	1.0424269476094854	516	1267.1099863017112
FH535	GDSC1	726	22	0.11777347074819611	246	1444.5642500352128
PAC-1	GDSC1	716	7	0.6179439731299136	408	107.1065971932885
IPA-3	GDSC1	728	0	2.3892608970018996	658	3387.0620916703465
GSK650394	GDSC1	726	8	0.4948053431087389	517	835.4114709034604
BAY-61-3606	GDSC1	729	23	0.17707755633379146	346	505.16912388931513
5-Fluorouracil	GDSC1	767	4	0.8146660070792041	630	2179.6777243765764
Thapsigargin	GDSC1	713	672	3.742018384956239e-4	4	14.947004232936036
Obatoclax Mesylate	GDSC1	725	503	0.01186422113689504	30	744.6614272394474
BMS-754807	GDSC1	724	234	0.009212175720794242	100	97.51353296372766
Linsitinib	GDSC1	726	62	0.04836029612057757	372	108.19330204170247
Bexarotene	GDSC1	721	2	0.9045700898397648	626	392.4294732147831
Bleomycin	GDSC1	715	179	0.02692193263478535	286	2355.16100166229
LFM-A13	GDSC1	729	0	12.08555250069563	729	976.2900054419218
GW-2580	GDSC1	772	0	4.505430747875119	771	1213.2220600412982
Luminespib	GDSC1	720	666	0.0033581478738831678	4	14.816925748841548
Phenformin	GDSC1	761	0	3.6968651249775677	760	233061.10700797098
Bryostatin 1	GDSC1	725	725	0.0017734242656307858	0	0.3751396775110158
Pazopanib	GDSC1	724	12	0.059783726270863036	551	391.5145689918923
Dacinostat	GDSC1	730	708	0.005423806178689177	2	24.31923592386043
Epothilone B	GDSC1	726	721	5.541679933966875e-5	0	1.8819827079563216
GSK1904529A	GDSC1	728	5	0.3971131143824712	361	63.53017507123181
BMS-345541	GDSC1	774	0	1.959351043183502	643	927.2453652732789
Tipifarnib	GDSC1	729	103	0.016183359710778805	226	727.8843618739722
Avagacestat	GDSC1	1555	2	0.3537772461754438	1479	708.8103887515631
Ruxolitinib	GDSC1	775	0	4.044907279507907	769	374.26460977022975
AS601245	GDSC1	728	7	0.2728300863192444	309	497.21436449620114
Ispinesib Mesylate	GDSC1	770	621	0.0025386188999732416	0	8.695556656012556
TL-2-105	GDSC1	773	1	0.6028991043847433	732	738.4363772943415
AT-7519	GDSC1	759	192	0.015291543328793785	199	583.0091710407958
TAK-715	GDSC1	774	0	2.421538175584654	760	1383.4041444422942
BX-912	GDSC1	773	27	0.08775503573406121	532	689.7674660034568
ZSTK474	GDSC1	770	184	0.06961190565563105	159	256.28399088196744
AS605240	GDSC1	768	14	0.016931529556392412	583	827.3175991778269
Genentech Cpd 10	GDSC1	770	34	0.15171527280637845	409	612.3713104770069
GSK1070916	GDSC1	735	79	0.004385842549752699	334	293.6172445914407
Enzastaurin	GDSC1	770	14	0.40771508075819063	603	1165.3055356784862
GSK429286A	GDSC1	771	1	0.2945920255668633	755	1469.6919309096656
FMK	GDSC1	647	0	6.504367816507259	646	1275.3987630141544
QL-XII-47	GDSC1	765	127	0.09093454718148841	233	492.51927209307894
IC-87114	GDSC1	766	0	9.868650918032106	765	1424.0505159119803
Idelalisib	GDSC1	773	0	1.5963764545628245	763	1185.9641210093205
UNC0638	GDSC1	1538	0	1.0738031924053462	1231	2884.5171002408524
Cabozantinib	GDSC1	771	10	0.07721700169410849	529	374.68390106072866
WZ3105	GDSC1	772	337	0.027949176699625634	153	157.95489111624167
XMD14-99	GDSC1	772	0	5.280077892622607	762	695.0746021311242
Quizartinib	GDSC1	772	15	0.21697278783221263	460	69.58568639874498
CP724714	GDSC1	772	4	0.16404857713080367	745	612.9912366537426
JW-7-24-1	GDSC1	772	57	0.09305982295962635	238	513.0826272679354
NPK76-II-72-1	GDSC1	771	16	0.13574834211819226	557	640.6751280955389
STF-62247	GDSC1	770	0	2.3920711293581256	757	738.2100472686817
NG-25	GDSC1	772	4	0.34686887822414414	498	739.7584692388647
TL-1-85	GDSC1	772	2	0.8773122084582193	640	600.797808015284
VX-11e	GDSC1	772	33	0.0520618478200148	541	272.7700032057015
FR-180204	GDSC1	772	0	14.47162490374729	772	1182.4928218138878
ACY-1215	GDSC1	769	21	0.3173517112286956	268	782.4313883890006
Tubastatin A	GDSC1	770	0	1.9335554341135497	752	1258.9782647557868
Zibotentan	GDSC1	772	0	33.73632378469425	772	1413.8654891047609
Sepantronium bromide	GDSC1	734	658	0.001495863682358164	20	174.62704773860074
NSC-207895	GDSC1	768	2	0.5191444452455101	688	1440.2339764257435
VNLG/124	GDSC1	770	0	2.986491237053753	752	304.3649744066492
AR-42	GDSC1	761	441	0.027358387017620046	74	257.9077998167103
CUDC-101	GDSC1	756	437	0.01600738221038623	76	287.60836271081536
Belinostat	GDSC1	748	326	0.03766822123740687	103	586.6510812734264
I-BET-762	GDSC1	769	0	1.0296275181782801	676	1306.1844321891435
CAY10603	GDSC1	764	164	0.07903130375011175	137	682.4464005619529
Linifanib	GDSC1	772	11	0.3797205752642895	478	60.45271081645455
BIX02189	GDSC1	772	0	4.347386565439094	764	1433.095713512555
Alectinib	GDSC1	770	3	0.09738226637327475	726	347.6841049053293
Pelitinib	GDSC1	771	87	0.010572818201278264	345	382.9438302060739
Omipalisib	GDSC1	772	710	3.059457666161875e-4	1	17.613702671438634
JNJ38877605	GDSC1	769	3	0.41050855371441997	754	1136.133806776449
SU11274	GDSC1	770	2	0.7142115128695141	671	680.5532116740543
KIN001-236	GDSC1	772	0	3.889344618882914	765	733.3646967065739
KIN001-244	GDSC1	771	0	1.1727950635189761	687	1283.8492181410718
WHI-P97	GDSC1	772	0	1.0455077744855166	727	576.9200642023673
KIN001-042	GDSC1	769	1	0.8491816949720491	762	563.7413950889012
KIN001-260	GDSC1	771	0	1.280820151368692	767	1458.0040188825146
KIN001-266	GDSC1	771	0	1.8537093950334453	711	1368.0894534588972
Masitinib	GDSC1	772	2	0.8754211273558097	729	1212.2857631323961
Amuvatinib	GDSC1	766	25	0.02817719339800876	658	1163.2740100479616
MPS-1-IN-1	GDSC1	771	1	0.8641670586065783	693	1469.6919309096656
NVP-BHG712	GDSC1	772	6	0.33437488508598745	606	595.9875270035698
OSI-930	GDSC1	772	0	2.0674292205233424	758	646.1301195812503
OSI-027	GDSC1	759	205	0.019779357789183927	276	797.2730202164067
CX-5461	GDSC1	767	36	0.08532253458590171	546	738.4363772943415
PHA-793887	GDSC1	771	41	0.05139405662862219	482	752.4822685825783
PI-103	GDSC1	760	234	0.02231116288412197	260	671.116142723356
PIK-93	GDSC1	771	14	0.2197830731971732	545	1448.7415108511952
SB52334	GDSC1	769	1	0.5179272264867675	706	882.3398603662579
TPCA-1	GDSC1	772	7	0.5973456517372636	598	841.6625997083555
Fedratinib	GDSC1	772	10	0.24809246489178277	439	752.4822685825783
Foretinib	GDSC1	769	326	0.00887370050777953	55	215.465625418161
Y-39983	GDSC1	772	2	0.859351354731488	745	1469.6919309096656
YM201636	GDSC1	772	11	0.21710918940743124	420	368.7040331428343
Tivozanib	GDSC1	771	134	0.050352040012740545	0	9.230454713169044
WYE-125132	GDSC1	759	378	0.007851401398649833	105	401.6832473041257
GSK690693	GDSC1	770	17	0.01183387055719277	670	752.4822685825783
SNX-2112	GDSC1	763	423	0.010566526794163852	101	142.43356521757119
QL-XI-92	GDSC1	772	0	1.2655605784000226	722	752.4822685825783
XMD13-2	GDSC1	771	0	1.3773905384949543	666	594.765183457678
QL-X-138	GDSC1	766	90	0.1645055442001958	275	433.50384289890457
XMD15-27	GDSC1	772	0	4.127497227096299	767	752.4822685825783
T0901317	GDSC1	768	1	0.2388630556938651	763	734.850187568507
Selisistat	GDSC1	770	0	10.601171755708892	770	1145.705091617165
Tenovin-6	GDSC1	771	2	0.8798900161222563	316	1159.6998458032165
THZ-2-49	GDSC1	761	68	0.02325157830887768	474	1340.2928153619464
KIN001-270	GDSC1	772	0	10.962326490230504	772	1306.9090129323301
THZ-2-102-1	GDSC1	750	531	0.00215316095266951	91	356.8886430887345
AT7867	GDSC1	771	6	0.25205079104844536	593	1469.6919309096656
CI-1033	GDSC1	769	39	0.028518777814024232	341	1228.0970861933313
PF-00299804	GDSC1	762	48	0.02557897722541578	289	634.8413340291916
TWS119	GDSC1	771	5	0.4108920249574141	427	1435.9178579681013
Torin 2	GDSC1	725	515	0.012828899802244173	57	1020.888206452694
Pilaralisib	GDSC1	771	1	0.5733110464896917	661	670.2583693862084
GSK1059615	GDSC1	757	378	0.01776288725441164	49	586.3451896588194
Voxtalisib	GDSC1	771	0	4.6026370224913755	760	1427.4686816642447
Brivanib	GDSC1	770	2	0.5750776936047328	752	1394.5737583558666
BIBF-1120	GDSC1	770	19	0.05175884140623124	467	1443.9758024409434
AST-1306	GDSC1	756	81	0.0227448953950796	191	719.9576645174242
Apitolisib	GDSC1	758	326	0.05001102339267285	77	502.80120485299216
LIMK1 inhibitor BMS4	GDSC1	771	0	1.2926595477739975	759	1469.6919309096656
kb NB 142-70	GDSC1	771	0	1.1596927333651568	485	1469.6919309096656
Sphingosine Kinase 1 Inhibitor II	GDSC1	771	0	3.2867487227870233	765	188.12056716819848
A-484954	GDSC1	768	0	25.443990641277228	768	2164.5962014311135
A832234	GDSC1	759	5	0.09720991174785987	427	108.54175872745762
Venotoclax	GDSC1	760	35	0.016716815366128502	12	13.994632594543763
CPI-613	GDSC1	761	0	23.126683343925006	761	12808.383596678934
CAY10566	GDSC1	758	12	0.07448425285592825	639	139.8396774024657
Ara-G	GDSC1	758	0	1.8739940616477928	757	1239.9504014891047
Pemetrexed	GDSC1	760	37	0.028819652415914176	564	415.2880010613164
Alisertib	GDSC1	752	109	0.012504245629275015	305	92.90742590341793
Flavopiridol	GDSC1	757	634	0.026881653260274807	5	67.38802294400348
C-75	GDSC1	761	0	6.168221026462056	749	1318.03209097236
CAP-232	GDSC1	759	0	6.574879921451833	709	983.5078898367135
Trichostatin A	GDSC1	760	680	0.006322043205888669	7	32.70732271265282
Panobinostat	GDSC1	754	735	0.0025638423776215315	2	29.069318183623178
LCL161	GDSC1	758	15	0.017439040713046482	699	418.2839286169827
IMD-0354	GDSC1	764	301	0.057129380899585136	73	617.911983627446
MIM1	GDSC1	756	0	3.0170230222810592	701	1865.2237685178352
ETP-45835	GDSC1	771	0	10.525948697121137	771	1453.908857276823
CD532	GDSC1	772	299	0.028178596403573473	15	109.095321582575
NSC319726	GDSC1	731	693	1.4825814390549344e-4	0	8.45100793074034
ARRY-520	GDSC1	756	683	9.899001386241332e-4	0	8.277119985062383
SB505124	GDSC1	1526	4	0.7678593581601283	1322	1184.5381408047258
A-83-01	GDSC1	759	0	2.0745094332069627	752	921.5267698625768
LDN-193189	GDSC1	761	64	0.29894335012709045	24	65.95628888535869
FTY-720	GDSC1	761	0	1.5726071104085915	324	408.9949762663474
BAM7	GDSC1	760	0	3.9425852580557956	753	1126.648556987457
AGI-6780	GDSC1	761	5	0.6309175156708692	64	31.161390172010258
Kobe2602	GDSC1	759	0	6.679576390887712	752	1469.6919309096656
LGK974	GDSC1	759	2	0.40045468217384633	529	146.66372746030237
Wnt-C59	GDSC1	761	4	0.5715865772327489	527	101.79564355036624
RU-SKI 43	GDSC1	761	0	5.147016286829101	754	1393.0023196536624
AICA Ribonucleotide	GDSC1	780	0	56.49750817034011	780	103880.8751120041
Vinblastine	GDSC1	788	782	0.001088191527212512	0	2.7417493511425084
Cisplatin	GDSC1	1564	49	0.07877016811638346	829	878.2401011718669
Cytarabine	GDSC1	782	345	0.01906635924325478	85	107.79895138330637
Docetaxel	GDSC1	789	789	2.005282238084448e-4	0	0.8091222223728756
Methotrexate	GDSC1	787	353	0.006340725619860059	5	19.362877248238913
Tretinoin	GDSC1	781	4	0.15792484573852045	734	968.1438619974391
Gefitinib	GDSC1	785	149	0.012106616253608645	54	37.20196918653518
Navitoclax	GDSC1	785	113	0.016882049994776754	300	100.7804337326112
Vorinostat	GDSC1	789	69	0.12502855484599976	119	300.8747063150823
Nilotinib	GDSC1	788	3	0.4194796111489037	630	190.86857400757836
Refametinib	GDSC1	1492	266	0.01829475085143966	490	202.14959285276743
CI-1040	GDSC1	774	52	0.05336592090726982	395	314.1429641086917
Temsirolimus	GDSC1	774	695	0.0012413753249184685	0	6.647891096326686
Olaparib	GDSC1	1535	3	0.2611053424940957	1380	656.5899008687522
Veliparib	GDSC1	787	1	0.30013249404695674	773	446.7756039585107
Bosutinib	GDSC1	786	55	0.07489827630561059	334	108.66195273299996
Lenalidomide	GDSC1	787	0	1.578279503662086	778	468.2815178798802
Axitinib	GDSC1	781	20	0.011801472832333206	360	116.69798340728778
AZD7762	GDSC1	1562	958	0.012671067209257595	70	413.79166105754996
GW441756	GDSC1	786	15	0.04779369748290564	484	192.17744289892798
Lestaurtinib	GDSC1	785	476	0.020178265745928205	40	84.08440241215477
SB216763	GDSC1	693	0	4.97595832897658	683	630.1143412719623
Tanespimycin	GDSC1	784	535	0.002668576672951233	38	36.97654064735236
VX-702	GDSC1	781	4	0.016171129439449382	675	192.41548127464822
Motesanib	GDSC1	781	8	0.1593659235445313	528	184.59427175358573
KU-55933	GDSC1	785	0	2.5592609412835787	769	594.3347037516668
Elesclomol	GDSC1	779	734	2.3104566869596845e-4	2	10.91022619015597
Afatinib	GDSC1	1543	245	8.497894899795644e-4	673	493.78151498690363
Vismodegib	GDSC1	789	0	6.5985566782258	785	968.1438619974391
PLX-4720	GDSC1	1552	33	0.19481320083038123	1394	1395.0641195021676
BX795	GDSC1	786	10	0.46492332986503093	271	455.8506272359404
NU7441	GDSC1	781	3	0.5182746089942911	419	99.26755514882291
SL0101	GDSC1	771	0	5.557307220025265	763	968.1438619974391
Doramapimod	GDSC1	773	0	2.886978134866336	751	844.5658269085845
JNK Inhibitor VIII	GDSC1	783	0	4.270641862370161	768	870.2104056644322
Wee1 Inhibitor	GDSC1	697	18	0.051588315754605756	281	148.54314146985848
Nutlin-3a (-)	GDSC1	787	1	0.45941494623737483	637	580.9308466098491
Mirin	GDSC1	707	0	5.322915326697786	704	6716.019018412978
PD173074	GDSC1	786	23	0.021516101933822127	544	153.82428031195388
ZM447439	GDSC1	787	9	0.4732868595143167	368	379.6144954030543
RO-3306	GDSC1	786	1	0.4989299833516935	639	414.41678894996227
MK-2206	GDSC1	742	63	0.09715773404615129	233	194.96174951709713
Palbociclib	GDSC1	742	90	0.05895381076899327	263	207.99889724904907
Dactolisib	GDSC1	773	733	0.0028802250975989646	1	12.58235151896622
Pictilisib	GDSC1	1503	312	0.12634842823446774	265	208.97305516540354
AZD8055	GDSC1	776	344	0.0613040707028043	23	52.11075174839265
PD0325901	GDSC1	773	543	0.0012382703885681849	24	24.338009712942203
SB590885	GDSC1	749	17	0.07754816172692403	671	484.07193078570117
Selumetinib	GDSC1	1501	219	0.019816441124825154	721	272.11153870250735
CCT007093	GDSC1	782	0	2.510508459162521	767	591.3506074958667
EHT-1864	GDSC1	783	0	3.0803510199256254	744	904.6287648885601
Cetuximab	GDSC1	720	1	0.22663956087633166	710	3797.9775866543982
PF-4708671	GDSC1	775	0	2.0401441293447524	740	630.1143412719623
Serdemetan	GDSC1	779	2	0.8412821616217824	514	447.81363564386817
AZD4547	GDSC1	1513	67	0.0029478660183757904	907	734.8459658663061
Capivasertib	GDSC1	779	25	0.1472487761294136	562	2204.5378961260453
HG-5-113-01	GDSC1	442	11	0.5711828733712667	100	229.43414696589846
HG-5-88-01	GDSC1	441	2	0.08644949745488849	366	481.77542777592834
TW 37	GDSC1	780	560	0.003748713771884137	25	266.80838431067366
XMD11-85h	GDSC1	442	0	4.40804076162296	428	493.78151498690363
ZG-10	GDSC1	442	20	0.36274633269505924	90	328.3028222406029
XMD8-92	GDSC1	443	0	2.845683702699384	365	493.78151498690363
QL-VIII-58	GDSC1	444	354	0.021754844513426182	4	109.94180518206953
CCT-018159	GDSC1	776	0	2.0042649338407896	606	939.8454294617245
Rucaparib	GDSC1	781	2	0.3296177800748225	683	361.7405568161865
AZ20	GDSC1	781	135	0.0778761080814866	75	354.20054251129403
KU-60019	GDSC1	780	0	2.407541667709056	655	545.9933684635545
Tamoxifen	GDSC1	767	0	1.0734957453664853	747	524.5443096193604
QL-XII-61	GDSC1	421	0	1.0060789200958424	380	553.1766494834638
PFI-1	GDSC1	770	1	0.8745669529916619	502	553.1766494834638
IOX2	GDSC1	769	350	0.04896079300067614	0	5.385938899465228
YK-4-279	GDSC1	645	33	0.43908999628064743	155	493.4401495444607
(5Z)-7-Oxozeaenol	GDSC1	756	168	0.00972736058749591	87	364.32071832483103
Piperlongumine	GDSC1	767	7	0.49942516546819055	130	345.20738279910603
Daporinad	GDSC1	739	520	6.363986995183374e-4	49	54.97579266600517
Talazoparib	GDSC1	755	87	0.011596462700330977	389	440.58642736380847
rTRAIL	GDSC1	761	470	0.0019474206531036825	0	5.652610466926058
UNC1215	GDSC1	752	0	1.1058830388320877	523	97.54303448910362
UNC0642	GDSC1	737	10	0.3321906094376653	106	56.59240958816903
SGC0946	GDSC1	751	6	0.2367793012629306	118	28.860012053504896
ICL1100013	GDSC1	759	102	0.10728819875908956	332	989.0727993863544
XAV939	GDSC1	760	2	0.40147460576562755	651	330.35544405564576
Trametinib	GDSC1	743	483	7.953269205662567e-4	55	55.31766494801699
Dabrafenib	GDSC1	715	52	0.009285344416540506	582	538.5938899529369
Temozolomide	GDSC1	751	0	2.8945433149624704	750	1709.7778042178388
Bleomycin (50 uM)	GDSC1	777	133	0.046652703571270646	379	2446.7084782562874
AZD3514	GDSC1	774	1	0.7634651342885607	700	553.1766494834638
Bleomycin (10 uM)	GDSC1	775	135	0.028237917330405485	312	507.6116755229729
AZD6738	GDSC1	776	32	0.35192314580641354	249	455.88479360908514
AZD5438	GDSC1	771	143	0.11976616395082405	45	62.53224526880173
AZD6094	GDSC1	775	11	0.0021489280490779947	699	216.02043852313446
Dyrk1b_0191	GDSC1	773	2	0.9545073934103255	291	981.352214191013
AZD4877	GDSC1	772	737	9.037818943442922e-4	0	9.542364376872845
EphB4_9721	GDSC1	772	66	0.024802524912640986	332	336.09012124827314
Fulvestrant	GDSC1	771	1	0.21628121494946353	752	501.0722734180022
AZD8931	GDSC1	768	87	0.022666213892602725	222	388.50812252911714
FEN1_3940	GDSC1	767	0	1.3581511631332182	272	559.9121016107003
FGFR_0939	GDSC1	774	14	0.113956731600273	294	187.76858598367605
FGFR_3831	GDSC1	773	10	0.19117683529872156	525	553.1766494834638
BPTES	GDSC1	773	3	0.1661533642694219	688	553.1766494834638
AZD7969	GDSC1	769	3	0.4015801247474455	400	538.5938899529369
AZD5582	GDSC1	764	94	0.006127681018594968	326	473.82378880422476
IAP_5620	GDSC1	766	46	0.009130658939303789	669	666.3140493711321
IAP_7638	GDSC1	770	26	0.009310366473885988	672	725.8883150706598
IGFR_3801	GDSC1	774	411	0.03862387683084882	68	553.1766494834638
AZD1480	GDSC1	777	44	0.029346716409073628	193	136.4021384401258
JAK1_3715	GDSC1	776	0	2.1853938849216936	770	1062.3087801731517
JAK3_7406	GDSC1	774	1	0.41833023604009106	632	638.8315496157348
MCT1_6447	GDSC1	757	11	0.047792144882068253	721	538.5938899529369
MCT4_1422	GDSC1	773	0	2.370074425930103	759	868.429980287109
AZD2014	GDSC1	774	422	0.05622933754016779	41	226.21202880294786
AZD8186	GDSC1	771	53	0.02792658914601598	275	96.51614200313662
AZD8835	GDSC1	765	8	0.41254776045026165	461	220.24589660093739
PI3Ka_4409	GDSC1	769	11	0.3605865762704417	418	199.6914725084462
AZD1208	GDSC1	777	1	0.6965304354598864	707	420.20150288542726
PLK_6522	GDSC1	761	665	0.004406547887566527	5	22.3763899521951
RAF_9304	GDSC1	773	35	0.08845882636844703	400	488.0786661555196
PARP_9495	GDSC1	768	80	0.06578917459622136	220	138.37233547266888
PARP_0108	GDSC1	776	335	0.004914436313198738	110	138.2941623874461
PARP_9482	GDSC1	774	386	0.0025130588260496843	73	138.2941623874461
TANK_1366	GDSC1	773	10	0.012019385828249749	532	182.10962210252373
AZD1332	GDSC1	774	31	0.04081527105653201	242	543.5730868796725
TTK_3146	GDSC1	773	1	0.7966407170466377	472	546.9285788132752
SN-38	GDSC1	1560	1543	2.5436276098064033e-5	0	3.8047692021165407
Pevonedistat	GDSC1	559	256	0.03028859830037672	72	53.47393377429086
PFI-3	GDSC1	697	0	4.269174435860723	693	849.998931988963
