DrugName	GDSC2_version	GDSC2_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50
SB505124	GDSC2	47	1	0.42606926295380754	26	453.6418220546546
Tamoxifen	GDSC2	626	0	3.551025064400128	590	2378.2860498738964
Fulvestrant	GDSC2	1226	0	1.0251205750084518	1118	3145.027024106772
EPZ004777	GDSC2	661	0	14.882323616952508	661	6258.598833465244
YK-4-279	GDSC2	621	6	0.6882812531283831	358	5448.536706027569
Daporinad	GDSC2	317	299	1.8253659973249748e-4	0	9.641006428771542
BMS-345541	GDSC2	595	0	3.1015644110120504	531	2328.428962351186
AZ960	GDSC2	595	24	0.41757817962337485	295	4343.264682160268
Talazoparib	GDSC2	618	42	0.009521846726133603	462	2147.7455112417665
XAV939	GDSC2	595	0	6.045448056458921	590	6000.16524511096
Trametinib	GDSC2	638	249	4.7965010092098454e-4	125	767.2546014032405
Dabrafenib	GDSC2	625	18	0.006291305309462565	582	4190.858024494733
Temozolomide	GDSC2	618	0	19.15986266255205	618	15431.048027569886
AZD5438	GDSC2	595	1	0.9221524176329916	314	4025.5672866060563
IAP_5620	GDSC2	593	12	0.014391709686252412	562	4026.065247811256
AZD2014	GDSC2	595	22	0.3343925384112128	266	1880.8274213875195
AZD1208	GDSC2	594	0	3.542539387436741	593	3736.637111047391
AZD1332	GDSC2	595	2	0.1821429318277425	509	2064.5675571172083
Ruxolitinib	GDSC2	595	0	7.316624718905263	594	3029.4304854465086
Linsitinib	GDSC2	665	0	1.029848217766448	592	6292.215806221424
Epirubicin	GDSC2	621	443	0.009443683640689478	27	55.5569306828967
Cyclophosphamide	GDSC2	620	0	19.637858874695873	620	5753.0527361515
Pevonedistat	GDSC2	619	194	0.01931954319202652	184	3361.0631724894865
Sapitinib	GDSC2	664	30	0.018920099138076237	541	3793.9216500945895
Uprosertib	GDSC2	1214	45	0.023964967393383486	813	4939.441069401726
LCL161	GDSC2	595	3	0.1505686671268329	583	5904.084209351054
Lapatinib	GDSC2	626	19	0.12932953365291344	417	3165.9402736507527
Luminespib	GDSC2	664	539	0.006894615261684677	20	257.09604951081246
Alpelisib	GDSC2	664	2	0.4950365455578864	553	3777.0830441739386
Taselisib	GDSC2	665	64	0.053931098209616814	308	4487.369836899716
EPZ5676	GDSC2	661	0	28.52976253366168	661	7968.5560804137285
SCH772984	GDSC2	664	57	0.017955994330306875	389	842.0798100096893
IWP-2	GDSC2	595	1	0.7116167159753412	471	544.2477228811853
Leflunomide	GDSC2	595	0	13.848311835914004	595	5984.140842174747
Entinostat	GDSC2	603	13	0.23655105170220397	329	2061.7857453047372
OSI-027	GDSC2	234	2	0.633071309108323	194	5562.961498848533
LGK974	GDSC2	664	0	5.790634785584409	653	1992.5388308906379
VE-822	GDSC2	596	5	0.6946357738629136	479	1700.6633441181132
WZ4003	GDSC2	596	0	3.012065774324524	519	3558.8825173685395
CZC24832	GDSC2	596	0	20.856335714724068	596	3995.0815383071345
AZD5582	GDSC2	590	54	0.0024898637109130547	284	3092.4347435355885
GSK2606414	GDSC2	594	0	2.100153070926348	565	3887.629401406623
PFI3	GDSC2	596	0	14.922592504903637	596	4355.03293759162
PCI-34051	GDSC2	596	0	5.462774405068368	587	5212.954831952691
Wnt-C59	GDSC2	596	0	6.150773488570547	589	2994.0256825425213
I-BET-762	GDSC2	595	3	0.38126599197585825	497	2146.437581707649
RVX-208	GDSC2	595	0	7.225164200713758	594	2684.92337229889
OTX015	GDSC2	596	24	0.08979916468529035	362	2169.4462771251574
GSK343	GDSC2	596	0	2.2675593745562326	485	276.4653027577704
ML323	GDSC2	596	0	7.794859923105912	595	5338.8249837582025
Entospletinib	GDSC2	596	0	2.4138323816136085	551	3916.37559647466
PRT062607	GDSC2	596	0	1.207312178946223	488	3174.3960469099807
Ribociclib	GDSC2	47	0	16.625380005653543	47	1084.1466390040582
AGI-6780	GDSC2	596	0	6.124792591492643	587	2707.4328521941698
Picolinici-acid	GDSC2	596	0	23.111862890201184	596	3635.7822973101324
AZD5153	GDSC2	594	70	0.05314339775710848	260	813.6763155721876
CDK9_5576	GDSC2	594	335	0.07207162330987014	49	465.54821431871045
CDK9_5038	GDSC2	594	497	0.006112010516862177	16	123.33514945522961
Eg5_9814	GDSC2	593	542	0.0027008201055148773	2	19.269588035631255
ERK_2440	GDSC2	595	29	0.0730453234480093	354	1238.530606124124
ERK_6604	GDSC2	595	18	0.1187982589058364	469	2269.5238456023603
IRAK4_4710	GDSC2	595	0	2.376484580812298	594	3059.64367014767
JAK1_8709	GDSC2	595	0	5.409532641502692	583	2186.2590005039247
AZD5991	GDSC2	593	42	0.049046392180217994	490	6047.571780534692
PAK_5339	GDSC2	594	3	0.4494974024812013	369	276.0322045445187
TAF1_5496	GDSC2	594	6	0.40304908257944	514	3977.6294587886705
ULK1_4989	GDSC2	594	11	0.13960067805545848	312	17919.444726580146
VSP34_8731	GDSC2	595	1	0.8191802904042379	317	2850.8006332733326
Selumetinib	GDSC2	595	25	0.08133424176854041	493	5983.097869689119
IGF1R_3801	GDSC2	595	97	0.08256301169077658	244	968.9492899924055
JAK_8517	GDSC2	595	4	0.1179728627493148	421	2420.0121994243796
AZD4547	GDSC2	627	16	0.005339835332314089	445	1393.522623060819
Ibrutinib	GDSC2	593	18	0.030770941458508203	529	4928.128205502627
Zoledronate	GDSC2	596	1	0.8086181837416989	581	1172.7030829678008
Acetalax	GDSC2	596	44	0.045733293221433824	474	5401.715765420471
Carmustine	GDSC2	596	0	27.70388458161644	596	13065.098812774828
Topotecan	GDSC2	596	242	0.014969067966689491	95	293.87175457398104
Teniposide	GDSC2	596	180	0.035867913478205865	113	871.2915372922535
Mitoxantrone	GDSC2	596	171	0.013705507074714273	153	481.01220901541546
Dactinomycin	GDSC2	1206	1178	2.498776389194315e-4	1	10.122331274439546
Fludarabine	GDSC2	596	8	0.06469759836877097	567	6829.584913748904
Nelarabine	GDSC2	595	0	1.7383583775824332	594	11430.141196976723
Vincristine	GDSC2	591	395	0.003163112633379979	60	1007.2466356935786
Podophyllotoxin bromide	GDSC2	596	376	0.05983257589339624	48	396.0065480986502
Dihydrorotenone	GDSC2	596	150	0.010713952685585549	99	109.49778166915678
Gallibiscoquinazole	GDSC2	596	1	0.9687368203211163	423	286.1163414327336
Elephantin	GDSC2	596	0	2.5126397461378454	530	2493.075095844984
Sinularin	GDSC2	596	0	1.5454667626088103	562	1433.4039438962504
Sabutoclax	GDSC2	596	346	0.027990261068445467	16	44.01860642902822
LY2109761	GDSC2	596	0	6.852267742054098	595	5906.08679670108
OF-1	GDSC2	596	0	1.166084538317376	564	3488.900486712848
MN-64	GDSC2	596	0	5.339119899443463	590	4905.206861475595
KRAS (G12C) Inhibitor-12	GDSC2	596	0	1.9993206797899465	578	8159.461590365674
MG-132	GDSC2	639	610	0.033689818576587156	5	128.3912171878047
BDP-00009066	GDSC2	621	0	1.598947084088353	368	2522.6914452333667
Buparlisib	GDSC2	621	32	0.3379521661568094	58	97.09460761939562
Ulixertinib	GDSC2	1238	65	0.17649305793247366	775	1466.7147678294486
Venetoclax	GDSC2	625	22	0.0053165976552490245	344	705.7074867103806
ABT737	GDSC2	620	60	0.0062495940257451315	345	770.6222783355148
Afuresertib	GDSC2	621	19	0.04439717671409645	377	985.6309977172624
AGI-5198	GDSC2	621	0	9.93036459827908	620	3462.4668495699325
AZD3759	GDSC2	626	13	0.07378302137375484	438	482.6509115995436
AZD5363	GDSC2	621	14	0.08506551477124522	458	1924.8947623998454
AZD6738	GDSC2	621	13	0.3531138527486532	312	1302.02263030818
AZD8186	GDSC2	621	6	0.0979318826616186	501	1376.9469683193631
Osimertinib	GDSC2	621	62	0.027405104685109136	220	445.66183112913524
Cediranib	GDSC2	621	10	0.13488475516155465	254	634.5986017499099
Ipatasertib	GDSC2	621	9	0.10089855123577891	506	1384.298723949459
GDC0810	GDSC2	621	0	2.7297138738005895	617	5233.525677640674
GNE-317	GDSC2	609	196	0.14951368190836523	70	268.32108551933584
GSK2578215A	GDSC2	621	0	10.599064529787093	621	5230.665587265284
I-BRD9	GDSC2	621	0	5.489712331170758	612	3735.004252057463
Telomerase Inhibitor IX	GDSC2	621	175	0.13364464653295358	86	330.3303376239605
MIRA-1	GDSC2	620	0	8.35383767057298	619	6495.299763197194
NVP-ADW742	GDSC2	621	11	0.34421914776354146	404	3187.7666343857736
P22077	GDSC2	621	0	2.786663435735989	595	7277.398409109558
Savolitinib	GDSC2	621	6	0.0042102169023652825	431	436.6574887729952
UMI-77	GDSC2	621	0	1.4121377407448168	392	3193.4294532785484
WIKI4	GDSC2	621	0	1.9947663222158987	592	1324.6722180488896
Sepantronium bromide	GDSC2	621	612	7.16161856727352e-4	2	20.055648550452243
MIM1	GDSC2	621	0	3.340717180800051	594	1604.2777024270424
WEHI-539	GDSC2	621	27	0.018300136754268653	517	1103.4501249070827
BPD-00008900	GDSC2	621	0	2.488646798593937	612	3911.6752996811733
Foretinib	GDSC2	617	97	0.008395842370906282	81	2598.1799159714187
BIBR-1532	GDSC2	617	0	3.2156258813606478	615	5675.101337235864
Pyridostatin	GDSC2	617	0	2.1171222432897427	545	1987.7249250918665
AMG-319	GDSC2	617	0	4.351426051458675	615	4061.1943055468046
MK-8776	GDSC2	617	9	0.2916908141272346	494	1360.5181149016576
Vinorelbine	GDSC2	617	530	3.0782140457335605e-4	13	31.03227502892135
VX-11e	GDSC2	613	22	0.16237492300622564	430	1662.9108818576983
LJI308	GDSC2	613	0	14.835597699249055	613	4616.113764098705
AZ6102	GDSC2	613	0	1.6334337677265542	366	1260.536155221365
GSK591	GDSC2	612	1	0.2903277733583052	604	3004.949632335037
VE821	GDSC2	612	0	2.265147751545227	577	2978.425795505374
AZD6482	GDSC2	48	2	0.6997954478790759	34	1549.7272633758007
AT13148	GDSC2	612	1	0.9951238461278938	509	6042.6991711574665
BMS-754807	GDSC2	46	13	0.015604984689623114	10	35.118414262023194
JQ1	GDSC2	48	4	0.16363122506191483	32	1592.2048072132068
